Role,TimeofDay,DayofWeek,MMR,PartySize,QueueDuration
0, 0.0947337962962963, 0.875, 0.05, 0.4, 40
1, 0.5723379629629629, 0.375, 0.4, 0.2, 31
0, 0.36716435185185187, 0.0, 1.0, 0.8, 35
0, 0.2317824074074074, 0.0, 0.15, 0.6, 48
0, 0.9078009259259259, 0.0, 0.55, 0.2, 175
1, 0.3222337962962963, 0.0, 0.15, 0.2, 86
1, 0.9139351851851852, 0.75, 0.05, 0.2, 17
0, 0.7747453703703704, 0.0, 0.8, 0.6, 74
0, 0.324375, 0.375, 0.8, 0.8, 132
0, 0.13903935185185184, 0.0, 0.55, 0.8, 74
1, 0.839224537037037, 0.0, 1.0, 0.2, 38
0, 0.8584490740740741, 0.875, 0.15, 0.6, 62
1, 0.5323263888888888, 0.25, 0.85, 0.2, 21
0, 0.4900231481481481, 0.0, 0.95, 0.4, 66
0, 0.6059490740740741, 0.875, 0.9, 0.4, 28
0, 0.912962962962963, 0.0, 0.3, 0.6, 39
0, 0.5827083333333334, 0.375, 0.35, 0.4, 36
1, 0.027858796296296295, 0.75, 0.55, 0.2, 9
0, 0.7074768518518518, 0.625, 0.2, 0.8, 122
0, 0.10222222222222223, 0.25, 0.4, 0.4, 79
0, 0.4387152777777778, 0.875, 0.75, 0.6, 36
0, 0.20296296296296296, 0.375, 1.0, 0.4, 80
0, 0.20921296296296296, 0.0, 0.15, 0.6, 53
0, 0.5819791666666667, 0.0, 0.75, 0.6, 23
0, 0.1226388888888889, 0.375, 0.3, 0.4, 47
0, 0.4940277777777778, 0.375, 0.55, 0.4, 261
0, 0.0006944444444444445, 0.25, 0.65, 0.8, 55
0, 0.030532407407407407, 0.0, 0.4, 0.4, 125
0, 0.4488888888888889, 0.875, 0.1, 0.8, 84
0, 0.6152893518518519, 0.25, 0.1, 0.6, 68
0, 0.9354976851851852, 0.125, 0.35, 0.6, 75
0, 0.42006944444444444, 0.125, 0.4, 0.6, 35
1, 0.3673032407407407, 0.875, 0.2, 0.2, 24
1, 0.8914699074074074, 0.25, 0.25, 0.2, 67
0, 0.7933796296296296, 0.0, 0.45, 0.8, 30
0, 0.4753819444444444, 0.0, 0.85, 0.8, 18
0, 0.1912962962962963, 0.875, 0.85, 0.4, 53
0, 0.352650462962963, 0.375, 0.65, 0.6, 28
1, 0.3043518518518519, 0.375, 0.5, 0.2, 80
0, 0.07256944444444445, 0.375, 0.65, 0.6, 44
0, 0.10905092592592593, 0.25, 0.6, 0.2, 51
0, 0.1516550925925926, 0.125, 0.7, 0.4, 45
0, 0.49475694444444446, 0.625, 0.65, 0.2, 37
0, 0.2997916666666667, 0.875, 0.5, 0.6, 46
0, 0.7084722222222222, 0.625, 0.45, 0.4, 67
0, 0.7019212962962963, 0.0, 0.25, 0.4, 134
1, 0.4499884259259259, 0.75, 0.15, 0.2, 66
0, 0.799050925925926, 0.875, 0.25, 0.2, 41
0, 0.1375462962962963, 0.375, 0.6, 0.4, 172
0, 0.2703009259259259, 0.25, 0.05, 0.4, 45
0, 0.4446527777777778, 0.0, 0.2, 0.2, 71
0, 0.9379861111111111, 0.625, 0.85, 0.8, 21
0, 0.7351041666666667, 0.75, 0.75, 0.4, 34
0, 0.3155439814814815, 0.625, 0.25, 0.4, 23
0, 0.9640162037037037, 0.125, 0.2, 0.6, 38
0, 0.0303125, 0.375, 0.85, 0.6, 22
0, 0.5971875, 0.75, 0.8, 0.8, 69
0, 0.6173032407407407, 0.375, 1.0, 0.4, 16
0, 0.5531365740740741, 0.0, 0.65, 0.8, 80
0, 0.2351388888888889, 0.375, 0.85, 0.6, 15
0, 0.8903356481481481, 0.0, 0.8, 0.8, 32
1, 0.3204050925925926, 0.0, 0.4, 0.2, 66
0, 0.23609953703703704, 0.375, 0.05, 0.2, 41
0, 0.7580324074074074, 0.75, 0.65, 0.4, 29
1, 0.021354166666666667, 0.875, 0.5, 0.2, 38
0, 0.1479050925925926, 0.625, 0.3, 0.2, 28
0, 0.7401620370370371, 0.875, 0.75, 0.8, 65
0, 0.8441898148148148, 0.375, 0.35, 0.6, 126
0, 0.3358217592592593, 0.75, 0.35, 0.6, 35
0, 0.5810532407407407, 0.625, 0.3, 0.4, 145
0, 0.5286111111111111, 0.0, 0.2, 0.6, 32
0, 0.5519560185185185, 0.625, 0.9, 0.4, 174
0, 0.5917592592592592, 0.875, 0.7, 0.8, 15
0, 0.04666666666666667, 0.0, 0.1, 0.6, 9
0, 0.894525462962963, 0.375, 0.5, 0.4, 32
0, 0.6090856481481481, 0.375, 0.65, 0.8, 123
0, 0.14979166666666666, 0.0, 0.9, 0.2, 147
0, 0.5917013888888889, 0.375, 1.0, 0.4, 37
0, 0.7214351851851852, 0.25, 0.2, 0.4, 41
0, 0.6920138888888889, 0.125, 0.95, 0.8, 48
0, 0.9993981481481482, 0.125, 0.45, 0.6, 100
1, 0.10844907407407407, 0.25, 0.4, 0.2, 112
1, 0.364375, 0.375, 0.85, 0.2, 41
1, 0.5713773148148148, 0.375, 0.7, 0.2, 32
0, 0.5612847222222223, 0.75, 0.4, 0.2, 22
0, 0.31797453703703704, 0.0, 0.45, 0.6, 93
0, 0.43030092592592595, 0.125, 0.85, 0.2, 67
0, 0.8208217592592593, 0.125, 0.2, 0.2, 26
0, 0.8038657407407407, 0.375, 0.7, 0.6, 101
1, 0.302962962962963, 0.0, 0.4, 0.2, 138
1, 0.3363888888888889, 0.125, 0.45, 0.2, 44
0, 0.09670138888888889, 0.25, 0.95, 0.6, 104
0, 0.8828935185185185, 0.75, 0.4, 0.6, 13
0, 0.8713541666666667, 0.875, 0.55, 0.4, 39
0, 0.6669675925925926, 0.625, 0.55, 0.8, 47
0, 0.38416666666666666, 0.25, 0.8, 0.4, 67
1, 0.8377430555555555, 0.375, 0.05, 0.2, 109
0, 0.18903935185185186, 0.0, 0.4, 0.6, 26
0, 0.17243055555555556, 0.625, 1.0, 0.4, 66
1, 0.6330324074074074, 0.25, 0.75, 0.2, 195
0, 0.44122685185185184, 0.0, 0.2, 0.4, 63
0, 0.6996527777777778, 0.375, 0.2, 0.8, 42
0, 0.5284837962962963, 0.625, 0.5, 0.2, 121
0, 0.5924421296296296, 0.75, 0.5, 0.4, 87
0, 0.4338078703703704, 0.625, 0.6, 0.8, 28
0, 0.3658101851851852, 0.625, 0.9, 0.6, 33
1, 0.98125, 0.0, 0.6, 0.2, 61
0, 0.7352314814814814, 0.125, 0.2, 0.8, 44
0, 0.4010185185185185, 0.375, 0.85, 0.2, 76
0, 0.39287037037037037, 0.75, 0.6, 0.8, 21
0, 0.7764930555555556, 0.75, 0.3, 0.8, 61
0, 0.8434953703703704, 0.875, 0.65, 0.8, 34
0, 0.3614236111111111, 0.375, 0.75, 0.2, 16
0, 0.11799768518518519, 0.375, 0.4, 0.6, 28
0, 0.9073148148148148, 0.625, 0.1, 0.8, 51
0, 0.8374189814814815, 0.25, 0.9, 0.2, 78
0, 0.8089120370370371, 0.375, 0.9, 0.2, 29
0, 0.29802083333333335, 0.0, 0.95, 0.4, 41
0, 0.20737268518518517, 0.75, 0.65, 0.4, 127
0, 0.2696064814814815, 0.875, 0.65, 0.6, 21
0, 0.9148032407407407, 0.75, 0.3, 0.8, 85
0, 0.17905092592592592, 0.125, 0.35, 0.4, 55
0, 0.40324074074074073, 0.25, 0.25, 0.8, 46
0, 0.9581828703703704, 0.625, 0.1, 0.4, 22
0, 0.5595138888888889, 0.25, 0.75, 0.4, 23
0, 0.9026736111111111, 0.625, 0.15, 0.6, 55
0, 0.8063541666666667, 0.625, 0.2, 0.2, 88
0, 0.2347337962962963, 0.125, 0.15, 0.4, 18
0, 0.6237615740740741, 0.125, 0.2, 0.8, 51
0, 0.7137731481481482, 0.25, 0.9, 0.8, 71
1, 0.8094097222222222, 0.25, 0.1, 0.2, 85
0, 0.4192592592592593, 0.375, 0.1, 0.4, 112
0, 0.7177430555555555, 0.875, 0.65, 0.2, 74
1, 0.2813888888888889, 0.875, 0.75, 0.2, 49
0, 0.6871180555555556, 0.0, 0.3, 0.6, 162
0, 0.10640046296296296, 0.375, 0.6, 0.8, 43
1, 0.8614467592592593, 0.25, 0.7, 0.2, 22
1, 0.2707638888888889, 0.125, 0.65, 0.2, 198
0, 0.6697916666666667, 0.375, 0.35, 0.8, 33
0, 0.8766087962962963, 0.875, 0.05, 0.6, 25
0, 0.8877430555555555, 0.125, 0.5, 0.6, 39
0, 0.968738425925926, 0.75, 0.4, 0.8, 44
0, 0.3553125, 0.375, 0.9, 0.8, 66
0, 0.9711226851851852, 0.375, 0.25, 0.2, 20
0, 0.35913194444444446, 0.125, 0.45, 0.6, 66
1, 0.5983680555555555, 0.375, 0.5, 0.2, 115
0, 0.8127662037037037, 0.0, 0.85, 0.4, 38
0, 0.7232060185185185, 0.625, 0.4, 0.8, 48
0, 0.6212037037037037, 0.625, 0.95, 0.8, 134
1, 0.5599884259259259, 0.625, 0.05, 0.2, 59
0, 0.5416435185185186, 0.125, 0.4, 0.2, 14
0, 0.920787037037037, 0.0, 0.75, 0.8, 22
0, 0.9849305555555555, 0.625, 0.45, 0.4, 60
0, 0.6948032407407407, 0.875, 0.3, 0.8, 50
0, 0.1773611111111111, 0.375, 0.5, 0.6, 45
1, 0.7967476851851852, 0.625, 0.9, 0.2, 39
0, 0.7560648148148148, 0.0, 1.0, 0.2, 37
1, 0.7289930555555556, 0.875, 0.2, 0.2, 56
0, 0.7836111111111111, 0.375, 0.15, 0.2, 43
0, 0.8492824074074075, 0.375, 0.95, 0.4, 53
0, 0.1593287037037037, 0.875, 0.3, 0.2, 58
0, 0.9150578703703703, 0.125, 1.0, 0.2, 32
0, 0.01369212962962963, 0.25, 0.8, 0.6, 36
1, 0.07988425925925927, 0.375, 0.35, 0.2, 69
0, 0.023958333333333335, 0.625, 0.15, 0.8, 41
0, 0.038842592592592595, 0.375, 0.3, 0.6, 20
0, 0.6966782407407407, 0.25, 0.85, 0.2, 15
0, 0.026412037037037036, 0.375, 0.5, 0.6, 50
0, 0.16020833333333334, 0.75, 0.35, 0.2, 42
0, 0.3924652777777778, 0.0, 0.25, 0.6, 86
0, 0.6834837962962963, 0.875, 0.9, 0.4, 80
0, 0.4241666666666667, 0.0, 0.25, 0.4, 132
0, 0.07523148148148148, 0.25, 0.35, 0.8, 25
0, 0.12266203703703704, 0.75, 1.0, 0.6, 69
0, 0.3371527777777778, 0.625, 0.3, 0.8, 20
0, 0.3134953703703704, 0.75, 0.6, 0.2, 34
0, 0.26547453703703705, 0.25, 0.15, 0.6, 81
1, 0.21846064814814814, 0.125, 0.8, 0.2, 93
0, 0.19171296296296297, 0.125, 0.2, 0.2, 73
1, 0.3808796296296296, 0.0, 0.05, 0.2, 16
0, 0.4749074074074074, 0.75, 0.55, 0.4, 87
0, 0.3116319444444444, 0.875, 0.7, 0.4, 30
0, 0.31269675925925927, 0.75, 0.8, 0.4, 26
0, 0.2936574074074074, 0.25, 0.2, 0.8, 24
0, 0.3483101851851852, 0.875, 0.75, 0.2, 53
1, 0.05413194444444445, 0.375, 0.95, 0.2, 27
0, 0.3232175925925926, 0.75, 0.85, 0.8, 25
1, 0.7127893518518519, 0.75, 0.1, 0.2, 62
0, 0.5670486111111112, 0.0, 0.75, 0.2, 71
0, 0.2760648148148148, 0.75, 0.8, 0.2, 89
0, 0.8435532407407408, 0.125, 1.0, 0.2, 61
0, 0.5347222222222222, 0.875, 0.1, 0.2, 114
0, 0.27980324074074076, 0.75, 0.55, 0.6, 74
0, 0.33859953703703705, 0.875, 0.2, 0.8, 37
0, 0.6525, 0.625, 1.0, 0.8, 53
1, 0.3279166666666667, 0.875, 0.25, 0.2, 42
0, 0.9181134259259259, 0.25, 0.55, 0.2, 18
0, 0.7524305555555556, 0.875, 0.25, 0.4, 54
0, 0.5618171296296296, 0.25, 0.25, 0.4, 53
1, 0.23068287037037036, 0.75, 0.45, 0.2, 74
0, 0.8354976851851852, 0.875, 0.6, 0.4, 37
0, 0.2429513888888889, 0.125, 0.45, 0.8, 79
0, 0.16166666666666665, 0.375, 0.3, 0.4, 305
0, 0.8234606481481481, 0.625, 0.1, 0.4, 34
1, 0.6210300925925926, 0.875, 0.15, 0.2, 41
0, 0.3276851851851852, 0.875, 0.65, 0.8, 47
0, 0.9876736111111111, 0.875, 0.85, 0.6, 20
0, 0.30966435185185187, 0.25, 0.2, 0.6, 56
0, 0.041261574074074076, 0.375, 0.35, 0.6, 57
0, 0.32707175925925924, 0.75, 0.8, 0.8, 29
0, 0.24408564814814815, 0.875, 0.65, 0.6, 60
1, 0.5047337962962963, 0.0, 0.3, 0.2, 61
0, 0.5813078703703703, 0.125, 0.05, 0.4, 45
0, 0.7824074074074074, 0.25, 0.1, 0.6, 52
0, 0.25894675925925925, 0.375, 0.7, 0.2, 52
0, 0.1466550925925926, 0.375, 0.7, 0.2, 78
1, 0.9496990740740741, 0.0, 0.8, 0.2, 132
0, 0.3019907407407407, 0.125, 0.55, 0.8, 72
0, 0.41488425925925926, 0.75, 0.35, 0.6, 27
0, 0.5869675925925926, 0.625, 0.55, 0.8, 10
0, 0.9644791666666667, 0.125, 0.75, 0.4, 72
0, 0.6991319444444445, 0.0, 0.9, 0.2, 114
0, 0.47050925925925924, 0.875, 0.6, 0.6, 52
1, 0.812962962962963, 0.0, 0.65, 0.2, 22
0, 0.6989930555555556, 0.375, 0.6, 0.8, 66
0, 0.2503356481481481, 0.75, 0.9, 0.8, 22
0, 0.9132175925925926, 0.375, 0.05, 0.4, 200
0, 0.760162037037037, 0.25, 0.45, 0.4, 34
1, 0.003946759259259259, 0.375, 0.4, 0.2, 53
0, 0.7960416666666666, 0.0, 1.0, 0.6, 43
0, 0.9037731481481481, 0.75, 0.6, 0.6, 42
1, 0.3903009259259259, 0.25, 0.3, 0.2, 22
0, 0.9401388888888889, 0.0, 0.9, 0.4, 113
1, 0.9465162037037037, 0.25, 0.4, 0.2, 5
0, 0.4847337962962963, 0.75, 0.4, 0.2, 48
1, 0.4241087962962963, 0.0, 0.65, 0.2, 55
0, 0.8510648148148148, 0.875, 0.2, 0.4, 36
0, 0.24288194444444444, 0.875, 0.3, 0.8, 62
1, 0.6574189814814815, 0.0, 0.05, 0.2, 27
0, 0.24649305555555556, 0.0, 0.35, 0.2, 47
0, 0.4272916666666667, 0.75, 0.3, 0.8, 64
0, 0.23899305555555556, 0.625, 0.9, 0.4, 16
0, 0.4872800925925926, 0.875, 0.65, 0.8, 69
0, 0.0675, 0.625, 0.9, 0.4, 55
1, 0.21819444444444444, 0.25, 0.95, 0.2, 36
0, 0.3049189814814815, 0.875, 0.85, 0.8, 44
1, 0.25840277777777776, 0.75, 0.7, 0.2, 39
0, 0.9835763888888889, 0.0, 0.2, 0.8, 49
0, 0.4777314814814815, 0.125, 0.95, 0.6, 33
1, 0.10717592592592592, 0.625, 0.4, 0.2, 11
0, 0.5094444444444445, 0.75, 0.3, 0.4, 113
0, 0.758900462962963, 0.125, 0.9, 0.6, 8
0, 0.18662037037037038, 0.75, 0.5, 0.4, 65
0, 0.8007291666666667, 0.875, 0.1, 0.2, 79
0, 0.820787037037037, 0.375, 0.85, 0.2, 42
0, 0.17152777777777778, 0.0, 0.6, 0.4, 27
0, 0.5394444444444444, 0.125, 0.65, 0.8, 13
0, 0.14201388888888888, 0.0, 0.65, 0.2, 28
0, 0.8474768518518518, 0.875, 0.9, 0.2, 26
0, 0.2344212962962963, 0.0, 0.65, 0.6, 130
1, 0.8184837962962963, 0.375, 0.6, 0.2, 37
1, 0.5909722222222222, 0.625, 0.85, 0.2, 91
0, 0.3327777777777778, 0.375, 0.1, 0.2, 118
0, 0.15461805555555555, 0.125, 0.7, 0.4, 48
0, 0.5375115740740741, 0.625, 0.45, 0.6, 30
0, 0.9063657407407407, 0.25, 0.4, 0.8, 29
0, 0.22993055555555555, 0.875, 0.7, 0.6, 137
0, 0.5178819444444445, 0.375, 0.25, 0.8, 52
0, 0.3985763888888889, 0.625, 0.3, 0.6, 103
0, 0.39858796296296295, 0.25, 0.55, 0.8, 98
0, 0.8892245370370371, 0.125, 0.65, 0.2, 36
0, 0.7045023148148148, 0.375, 0.8, 0.2, 25
1, 0.9306134259259259, 0.875, 0.15, 0.2, 51
0, 0.22217592592592592, 0.0, 0.05, 0.6, 151
0, 0.702974537037037, 0.625, 0.15, 0.8, 174
1, 0.2374537037037037, 0.75, 0.7, 0.2, 17
0, 0.048310185185185185, 0.875, 0.45, 0.4, 30
0, 0.9689467592592592, 0.625, 0.45, 0.8, 26
0, 0.8034837962962963, 0.625, 0.55, 0.6, 54
1, 0.08671296296296296, 0.375, 0.65, 0.2, 93
0, 0.2934259259259259, 0.75, 0.4, 0.6, 48
0, 0.005462962962962963, 0.25, 0.7, 0.6, 74
0, 0.28023148148148147, 0.125, 0.65, 0.6, 42
0, 0.16923611111111111, 0.875, 0.05, 0.2, 25
1, 0.5444212962962963, 0.0, 0.55, 0.2, 36
1, 0.7024768518518518, 0.125, 0.5, 0.2, 24
0, 0.12108796296296297, 0.625, 0.2, 0.2, 49
0, 0.1443287037037037, 0.125, 0.5, 0.6, 43
1, 0.7962847222222222, 0.25, 0.05, 0.2, 88
0, 0.8394675925925926, 0.625, 0.95, 0.4, 14
0, 0.5044560185185185, 0.25, 0.6, 0.2, 116
0, 0.31305555555555553, 0.25, 0.55, 0.2, 83
1, 0.37027777777777776, 0.75, 0.55, 0.2, 26
0, 0.09306712962962962, 0.625, 0.3, 0.6, 59
0, 0.6646527777777778, 0.0, 0.35, 0.4, 26
1, 0.3300925925925926, 0.25, 0.7, 0.2, 41
1, 0.713275462962963, 0.125, 0.85, 0.2, 15
0, 0.10951388888888888, 0.125, 0.6, 0.4, 86
0, 0.607025462962963, 0.75, 0.8, 0.4, 28
1, 0.14855324074074075, 0.625, 0.2, 0.2, 27
1, 0.5280671296296297, 0.75, 0.75, 0.2, 29
0, 0.6781828703703704, 0.125, 0.35, 0.4, 48
0, 0.037662037037037036, 0.75, 0.8, 0.6, 40
0, 0.709375, 0.125, 0.55, 0.8, 168
0, 0.1320949074074074, 0.0, 0.9, 0.4, 79
0, 0.977199074074074, 0.375, 0.05, 0.2, 62
1, 0.7810185185185186, 0.875, 0.55, 0.2, 41
1, 0.58875, 0.125, 0.4, 0.2, 33
0, 0.4367013888888889, 0.125, 0.3, 0.2, 36
1, 0.9254166666666667, 0.875, 0.85, 0.2, 23
0, 0.5070370370370371, 0.375, 0.1, 0.4, 37
0, 0.5682407407407407, 0.25, 0.7, 0.4, 24
0, 0.6512962962962963, 0.0, 0.2, 0.8, 43
0, 0.2901388888888889, 0.625, 0.55, 0.8, 116
1, 0.772824074074074, 0.75, 0.1, 0.2, 57
0, 0.9805555555555555, 0.75, 0.6, 0.4, 112
0, 0.8011111111111111, 0.125, 0.55, 0.6, 19
0, 0.7051157407407408, 0.75, 0.15, 0.2, 48
0, 0.9238425925925926, 0.25, 0.6, 0.8, 91
0, 0.1954861111111111, 0.75, 0.3, 0.8, 57
1, 0.35835648148148147, 0.75, 0.6, 0.2, 61
1, 0.7415972222222222, 0.875, 0.55, 0.2, 41
1, 0.8408564814814815, 0.625, 0.8, 0.2, 74
0, 0.18407407407407408, 0.625, 0.05, 0.6, 34
0, 0.752662037037037, 0.625, 0.3, 0.6, 109
0, 0.724212962962963, 0.125, 0.1, 0.8, 15
0, 0.2766550925925926, 0.375, 0.8, 0.2, 80
0, 0.8709606481481481, 0.625, 0.2, 0.8, 19
0, 0.9611574074074074, 0.625, 0.7, 0.6, 151
0, 0.3291203703703704, 0.25, 0.45, 0.2, 39
0, 0.8902893518518519, 0.375, 1.0, 0.4, 100
0, 0.2524884259259259, 0.375, 0.8, 0.6, 25
0, 0.9533101851851852, 0.125, 0.5, 0.8, 75
0, 0.43354166666666666, 0.625, 0.1, 0.6, 46
0, 0.6684375, 0.625, 0.9, 0.6, 20
0, 0.6660763888888889, 0.875, 0.1, 0.2, 86
0, 0.11440972222222222, 0.75, 0.7, 0.2, 16
0, 0.6220833333333333, 0.375, 0.65, 0.6, 98
0, 0.37, 0.75, 0.2, 0.4, 17
0, 0.42694444444444446, 0.125, 0.8, 0.2, 14
0, 0.8360185185185185, 0.875, 0.1, 0.6, 12
0, 0.07121527777777778, 0.75, 0.05, 0.6, 27
1, 0.4064583333333333, 0.25, 0.95, 0.2, 20
0, 0.8185532407407408, 0.25, 0.45, 0.8, 41
1, 0.7234953703703704, 0.875, 0.6, 0.2, 67
0, 0.4955787037037037, 0.125, 0.3, 0.6, 28
0, 0.6786574074074074, 0.25, 0.95, 0.2, 30
